name,type,Vertices,Edges
1.dtl,SPARQL,10,13
10.dtl,SPARQL,5,7
11.dtl,SPARQL,5,7
12.dtl,SPARQL,6,6
13.dtl,SPARQL,10,5
14.dtl,SPARQL,8,6
15.dtl,SPARQL,5,5
16.dtl,SPARQL,19,15
17.dtl,SPARQL,10,6
18.dtl,SPARQL,16,12
19.dtl,SPARQL,17,18
2.dtl,SPARQL,3,3
20.dtl,SPARQL,13,12
21.dtl,SPARQL,15,12
22.dtl,SPARQL,9,6
23.dtl,SPARQL,19,15
24.dtl,SPARQL,11,9
25.dtl,SPARQL,9,6
26.dtl,SPARQL,9,6
27.dtl,SPARQL,21,14
28.dtl,SPARQL,11,6
29.dtl,SPARQL,9,6
2bitcomp_5.hg,MaxSAT,95,310
3.dtl,SPARQL,8,5
30.dtl,SPARQL,27,21
31.dtl,SPARQL,4,3
32.dtl,SPARQL,4,4
33.dtl,SPARQL,3,3
34.dtl,SPARQL,4,3
35.dtl,SPARQL,3,3
36.dtl,SPARQL,6,4
37.dtl,SPARQL,6,4
38.dtl,SPARQL,6,4
39.dtl,SPARQL,6,4
4.dtl,SPARQL,10,13
40.dtl,SPARQL,6,4
41.dtl,SPARQL,5,5
42.dtl,SPARQL,6,4
43.dtl,SPARQL,6,4
44.dtl,SPARQL,6,4
45.dtl,SPARQL,6,4
46.dtl,SPARQL,6,4
47.dtl,SPARQL,6,4
48.dtl,SPARQL,6,4
49.dtl,SPARQL,6,4
5.dtl,SPARQL,10,13
50.dtl,SPARQL,6,4
51.dtl,SPARQL,6,4
52.dtl,SPARQL,6,4
53.dtl,SPARQL,6,4
54.dtl,SPARQL,4,4
55.dtl,SPARQL,6,4
56.dtl,SPARQL,6,4
57.dtl,SPARQL,6,4
58.dtl,SPARQL,4,4
59.dtl,SPARQL,5,5
6.dtl,SPARQL,7,5
60.dtl,SPARQL,6,4
61.dtl,SPARQL,6,4
62.dtl,SPARQL,6,4
63.dtl,SPARQL,6,4
64.dtl,SPARQL,4,5
65.dtl,SPARQL,5,6
66.dtl,SPARQL,4,5
67.dtl,SPARQL,5,7
68.dtl,SPARQL,3,4
69.dtl,SPARQL,6,5
7.dtl,SPARQL,9,6
70.dtl,SPARQL,6,5
8.dtl,SPARQL,7,6
9.dtl,SPARQL,9,5
Dubois-015.xml.hg,CSP Application,45,30
Dubois-016.xml.hg,CSP Application,48,32
Dubois-017.xml.hg,CSP Application,51,34
Dubois-018.xml.hg,CSP Application,54,36
Dubois-019.xml.hg,CSP Application,57,38
Dubois-020.xml.hg,CSP Application,60,40
Dubois-021.xml.hg,CSP Application,63,42
Dubois-022.xml.hg,CSP Application,66,44
