name,our_fhtw_lb,our_fhtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw
1.dtl,2.0,2.0,2.0,2.0,
10.dtl,1.5,1.5,1.5,1.5,
11.dtl,1.5,1.5,1.5,1.5,
12.dtl,2.0,2.0,2.0,2.0,
13.dtl,1.5,1.5,1.5,1.5,
14.dtl,1.5,1.5,1.5,1.5,
15.dtl,1.5,1.5,1.5,1.5,
16.dtl,3.0,3.0,3.0,3.0,
17.dtl,2.0,2.0,2.0,2.0,
18.dtl,3.0,3.0,3.0,3.0,
19.dtl,3.0,3.0,3.0,3.0,
2.dtl,1.5,1.5,1.5,1.5,
20.dtl,3.0,3.0,3.0,3.0,
21.dtl,3.0,3.0,3.0,3.0,
22.dtl,2.0,2.0,2.0,2.0,
23.dtl,3.0,3.0,3.0,3.0,
24.dtl,2.0,3.0,3.0,3.0,
25.dtl,2.0,2.0,2.0,2.0,
26.dtl,2.0,2.0,2.0,2.0,
27.dtl,2.0,2.0,2.0,2.0,
28.dtl,2.0,2.0,2.0,2.0,
29.dtl,2.0,2.0,2.0,2.0,
2bitcomp_5.hg,1,10.0,-1,-1,
3.dtl,1.5,1.5,1.5,1.5,
30.dtl,3.0,3.0,3.0,3.0,
31.dtl,1.5,1.5,1.5,1.5,
32.dtl,1.5,1.5,1.5,1.5,
33.dtl,1.5,1.5,1.5,1.5,
34.dtl,1.5,1.5,1.5,1.5,
35.dtl,1.5,1.5,1.5,1.5,
36.dtl,2.0,2.0,2.0,2.0,
37.dtl,2.0,2.0,2.0,2.0,
38.dtl,2.0,2.0,2.0,2.0,
39.dtl,2.0,2.0,2.0,2.0,
4.dtl,2.0,2.0,2.0,2.0,
40.dtl,2.0,2.0,2.0,2.0,
41.dtl,1.5,1.5,1.5,1.5,
42.dtl,2.0,2.0,2.0,2.0,
43.dtl,2.0,2.0,2.0,2.0,
44.dtl,2.0,2.0,2.0,2.0,
45.dtl,2.0,2.0,2.0,2.0,
46.dtl,2.0,2.0,2.0,2.0,
47.dtl,2.0,2.0,2.0,2.0,
48.dtl,2.0,2.0,2.0,2.0,
49.dtl,2.0,2.0,2.0,2.0,
5.dtl,2.0,2.0,2.0,2.0,
50.dtl,2.0,2.0,2.0,2.0,
51.dtl,2.0,2.0,2.0,2.0,
52.dtl,2.0,2.0,2.0,2.0,
53.dtl,2.0,2.0,2.0,2.0,
54.dtl,1.5,1.5,1.5,1.5,
55.dtl,2.0,2.0,2.0,2.0,
56.dtl,2.0,2.0,2.0,2.0,
57.dtl,2.0,2.0,2.0,2.0,
58.dtl,1.5,1.5,1.5,1.5,
59.dtl,1.5,1.5,1.5,1.5,
6.dtl,1.5,1.5,1.5,1.5,
60.dtl,2.0,2.0,2.0,2.0,
61.dtl,2.0,2.0,2.0,2.0,
62.dtl,2.0,2.0,2.0,2.0,
63.dtl,2.0,2.0,2.0,2.0,
64.dtl,2.0,2.0,2.0,2.0,
65.dtl,1.5,1.5,1.5,1.5,
66.dtl,1.5,1.5,1.5,1.5,
67.dtl,1.5,1.5,1.5,1.5,
68.dtl,1.5,1.5,1.5,1.5,
69.dtl,2.0,2.0,2.0,2.0,
7.dtl,1.5,1.5,1.5,1.5,
70.dtl,2.0,2.0,2.0,2.0,
8.dtl,2.0,2.0,2.0,2.0,
9.dtl,1.5,1.5,1.5,1.5,
Dubois-015.xml.hg,2.0,2.0,2.0,2.0,
Dubois-016.xml.hg,2.0,2.0,2.0,2.0,
Dubois-017.xml.hg,2.0,2.0,2.0,2.0,
Dubois-018.xml.hg,2.0,2.0,2.0,2.0,
Dubois-019.xml.hg,2.0,2.0,2.0,2.0,
Dubois-020.xml.hg,2.0,2.0,2.0,2.0,
Dubois-021.xml.hg,2.0,2.0,2.0,2.0,
Dubois-022.xml.hg,2.0,2.0,2.0,2.0,
Dubois-023.xml.hg,2.0,2.0,2.0,2.0,
Dubois-024.xml.hg,2.0,2.0,2.0,2.0,
Dubois-025.xml.hg,2.0,2.0,2.0,2.0,
Dubois-026.xml.hg,2.0,2.0,2.0,2.0,
Dubois-027.xml.hg,2.0,2.0,2.0,2.0,
Dubois-028.xml.hg,2.0,2.0,2.0,2.0,
Dubois-029.xml.hg,2.0,2.0,2.0,2.0,
Dubois-030.xml.hg,2.0,2.0,2.0,2.0,
Dubois-035.xml.hg,2.0,2.0,2.0,2.0,
Dubois-040.xml.hg,2.0,2.0,-1,2.0,
Dubois-045.xml.hg,2.0,2.0,-1,2.0,
Dubois-050.xml.hg,2.0,2.0,-1,2.0,
Kakuro-easy-000-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-001-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-002-ext.xml.hg,2.0,2.0,2.0,2.0,
Kakuro-easy-003-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-004-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-005-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-006-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-007-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-008-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-009-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-010-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-011-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-012-ext.xml.hg,1.0714281428571428,3.0,3.0,3.0,
Kakuro-easy-013-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-014-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-015-ext.xml.hg,4.0,4.0,-1,4.0,
Kakuro-easy-016-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-017-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-018-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-019-ext.xml.hg,3.0,4.0,-1,4.0,
Kakuro-easy-020-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-021-ext.xml.hg,3.0,3.0,3.0,-1,
Kakuro-easy-022-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-023-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-024-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-easy-025-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-026-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-027-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-028-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-029-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-030-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-031-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-032-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-033-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-034-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-035-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-036-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-037-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-038-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-039-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-040-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-041-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-042-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-043-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-044-ext.xml.hg,3.0,4.0,4.0,4.0,
