name,our_ghtw_lb,our_ghtw_ub,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub
1.dtl,2,2.0,2,2,2,2
10.dtl,2,2.0,2,2,2,2
11.dtl,2,2.0,2,2,2,2
12.dtl,2,2.0,2,2,2,2
13.dtl,2,2.0,2,2,2,2
14.dtl,2,2.0,2,2,2,2
15.dtl,2,2.0,2,2,2,2
16.dtl,3,3.0,3,3,3,3
17.dtl,2,2.0,2,2,2,2
18.dtl,3,3.0,3,3,3,3
19.dtl,3,3.0,3,3,3,3
2.dtl,2,2.0,2,2,2,2
20.dtl,3,3.0,3,3,3,3
21.dtl,3,3.0,3,3,3,3
22.dtl,2,2.0,2,2,2,2
23.dtl,3,3.0,3,3,3,3
24.dtl,2,3.0,3,3,3,3
25.dtl,2,2.0,2,2,2,2
26.dtl,2,2.0,2,2,2,2
27.dtl,2,2.0,2,2,2,2
28.dtl,2,2.0,2,2,2,2
29.dtl,2,2.0,2,2,2,2
2bitcomp_5.hg,1,10.0,-1,-1,4,inf
3.dtl,2,2.0,2,2,2,2
30.dtl,3,3.0,3,3,3,3
31.dtl,2,2.0,2,2,2,2
32.dtl,2,2.0,2,2,2,2
33.dtl,2,2.0,2,2,2,2
34.dtl,2,2.0,2,2,2,2
35.dtl,2,2.0,2,2,2,2
36.dtl,2,2.0,2,2,2,2
37.dtl,2,2.0,2,2,2,2
38.dtl,2,2.0,2,2,2,2
39.dtl,2,2.0,2,2,2,2
4.dtl,2,2.0,2,2,2,2
40.dtl,2,2.0,2,2,2,2
41.dtl,2,2.0,2,2,2,2
42.dtl,2,2.0,2,2,2,2
43.dtl,2,2.0,2,2,2,2
44.dtl,2,2.0,2,2,2,2
45.dtl,2,2.0,2,2,2,2
46.dtl,2,2.0,2,2,2,2
47.dtl,2,2.0,2,2,2,2
48.dtl,2,2.0,2,2,2,2
49.dtl,2,2.0,2,2,2,2
5.dtl,2,2.0,2,2,2,2
50.dtl,2,2.0,2,2,2,2
51.dtl,2,2.0,2,2,2,2
52.dtl,2,2.0,2,2,2,2
53.dtl,2,2.0,2,2,2,2
54.dtl,2,2.0,2,2,2,2
55.dtl,2,2.0,2,2,2,2
56.dtl,2,2.0,2,2,2,2
57.dtl,2,2.0,2,2,2,2
58.dtl,2,2.0,2,2,2,2
59.dtl,2,2.0,2,2,2,2
6.dtl,2,2.0,2,2,2,2
60.dtl,2,2.0,2,2,2,2
61.dtl,2,2.0,2,2,2,2
62.dtl,2,2.0,2,2,2,2
63.dtl,2,2.0,2,2,2,2
64.dtl,2,2.0,2,2,2,2
65.dtl,2,2.0,2,2,2,2
66.dtl,2,2.0,2,2,2,2
67.dtl,2,2.0,2,2,2,2
68.dtl,2,2.0,2,2,2,2
69.dtl,2,2.0,2,2,2,2
7.dtl,2,2.0,2,2,2,2
70.dtl,2,2.0,2,2,2,2
8.dtl,2,2.0,2,2,2,2
9.dtl,2,2.0,2,2,2,2
Dubois-015.xml.hg,2,2.0,2,2,2,2
Dubois-016.xml.hg,2,2.0,2,2,2,2
Dubois-017.xml.hg,2,2.0,2,2,2,2
