name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
1.dtl,2.0,2.0,2,2.0,60,183.37
10.dtl,1.5,1.5,2,2.0,60,107.14
11.dtl,1.5,1.5,2,2.0,60,161.94
12.dtl,2.0,2.0,2,2.0,60,96.61
13.dtl,1.5,1.5,2,2.0,60,161.62
14.dtl,1.5,1.5,2,2.0,60,229.96
15.dtl,1.5,1.5,2,2.0,60,156.81
16.dtl,3.0,3.0,3,3.0,60,62.71
17.dtl,2.0,2.0,2,2.0,60,122.06
18.dtl,3.0,3.0,3,3.0,60,76.25
19.dtl,3.0,3.0,3,3.0,60,72.29
2.dtl,1.5,1.5,2,2.0,60,96.4
20.dtl,3.0,3.0,3,3.0,60,102.12
21.dtl,3.0,3.0,3,3.0,60,96.32
22.dtl,2.0,2.0,2,2.0,60,88.69
23.dtl,3.0,3.0,3,3.0,60,78.69
24.dtl,2.0,3.0,2,3.0,60,167.5
25.dtl,2.0,2.0,2,2.0,60,129.02
26.dtl,2.0,2.0,2,2.0,60,117.01
27.dtl,2.0,2.0,2,2.0,60,54.9
28.dtl,2.0,2.0,2,2.0,60,86.17
29.dtl,2.0,2.0,2,2.0,60,125.73
2bitcomp_5.hg,1,10.0,1,10.0,9,3600
3.dtl,1.5,1.5,2,2.0,60,113.4
30.dtl,3.0,3.0,3,3.0,60,204.55
31.dtl,1.5,1.5,2,2.0,60,155.5
32.dtl,1.5,1.5,2,2.0,60,87.45
33.dtl,1.5,1.5,2,2.0,60,55.48
34.dtl,1.5,1.5,2,2.0,60,93.08
35.dtl,1.5,1.5,2,2.0,60,89.95
36.dtl,2.0,2.0,2,2.0,60,152.75
37.dtl,2.0,2.0,2,2.0,60,98.74
38.dtl,2.0,2.0,2,2.0,60,140.83
39.dtl,2.0,2.0,2,2.0,60,100.84
4.dtl,2.0,2.0,2,2.0,60,120.78
40.dtl,2.0,2.0,2,2.0,60,147.93
41.dtl,1.5,1.5,2,2.0,60,108.1
42.dtl,2.0,2.0,2,2.0,60,93.42
43.dtl,2.0,2.0,2,2.0,60,146.96
44.dtl,2.0,2.0,2,2.0,60,97.0
